ID|LATITUDE|LONGITUDE|STATE|EPIDEMIC
2321|21.067|-101.683|Guanajuato|0
41|21.068|-86.778|Quintana_Roo|0
1671|21.069|-101.603|Guanajuato|0
2707|21.069|-89.657|Yucatan|0
26|21.07|-89.639|Yucatan|0
2804|21.071|-89.522|Yucatan|0
635|21.075|-101.633|Guanajuato|0
2092|21.076|-101.651|Guanajuato|0
2157|21.078|-101.188|Guanajuato|0
2268|21.08|-100.516|Guanajuato|0
2744|21.081|-86.773|Quintana_Roo|0
2091|21.083|-101.65|Guanajuato|0
4435|21.084|-101.622|Guanajuato|0
1983|21.084|-101.613|Guanajuato|0
1897|21.086|-101.614|Guanajuato|0
717|21.089|-101.672|Guanajuato|0
1941|21.091|-86.842|Quintana_Roo|0
1680|21.093|-101.728|Guanajuato|0
2815|21.095|-101.691|Guanajuato|0
1387|21.097|-101.655|Guanajuato|0
196|21.097|-101.625|Guanajuato|0
1269|21.097|-101.605|Guanajuato|0
3263|21.097|-86.98|Quintana_Roo|0
27|21.103|-89.609|Yucatan|0
4125|21.103|-86.844|Quintana_Roo|0
1036|21.104|-101.645|Guanajuato|0
1940|21.104|-86.846|Quintana_Roo|0
1802|21.105|-101.678|Guanajuato|0
1776|21.106|-86.764|Quintana_Roo|0
424|21.107|-101.699|Guanajuato|0
1803|21.107|-101.668|Guanajuato|0
2773|21.108|-89.268|Yucatan|0
1044|21.109|-101.728|Guanajuato|0
2524|21.11|-101.61|Guanajuato|0
716|21.111|-101.654|Guanajuato|0
1741|21.114|-101.681|Guanajuato|0
3669|21.114|-101.653|Guanajuato|0
174|21.114|-86.84|Quintana_Roo|0
3332|21.117|-101.658|Guanajuato|0
2173|21.118|-101.627|Guanajuato|0
1368|21.119|-101.663|Guanajuato|0
407|21.119|-101.652|Guanajuato|0
4050|21.121|-101.683|Guanajuato|0
1642|21.122|-101.683|Guanajuato|0
4309|21.122|-86.825|Quintana_Roo|0
4340|21.125|-101.679|Guanajuato|0
1037|21.125|-101.661|Guanajuato|0
1049|21.126|-101.681|Guanajuato|0
1921|21.126|-101.669|Guanajuato|0
1591|21.129|-101.704|Guanajuato|0
42|21.129|-86.762|Quintana_Roo|0
634|21.13|-101.648|Guanajuato|0
2613|21.131|-101.66|Guanajuato|0
1633|21.133|-101.694|Guanajuato|0
2350|21.133|-101.677|Guanajuato|0
3109|21.135|-101.667|Guanajuato|0
1050|21.135|-101.643|Guanajuato|0
3547|21.135|-86.741|Quintana_Roo|0
1762|21.136|-104.5|Nayarit|0
1426|21.137|-101.745|Guanajuato|0
1943|21.138|-86.851|Quintana_Roo|0
1386|21.139|-101.685|Guanajuato|0
2144|21.139|-88.162|Yucatan|0
1089|21.139|-86.876|Quintana_Roo|0
1992|21.139|-86.841|Quintana_Roo|0
1424|21.14|-101.725|Guanajuato|0
1090|21.14|-86.864|Quintana_Roo|0
2152|21.14|-86.824|Quintana_Roo|0
3411|21.141|-88.143|Yucatan|0
1634|21.142|-101.701|Guanajuato|0
1532|21.142|-101.674|Guanajuato|0
2997|21.142|-86.776|Quintana_Roo|0
3973|21.144|-101.691|Guanajuato|0
3388|21.144|-101.685|Guanajuato|0
715|21.144|-101.657|Guanajuato|0
4349|21.144|-86.823|Quintana_Roo|0
3915|21.145|-101.69|Guanajuato|0
4097|21.146|-86.823|Quintana_Roo|0
2391|21.146|-86.791|Quintana_Roo|0
3026|21.147|-101.647|Guanajuato|0
1087|21.147|-86.88|Quintana_Roo|0
4437|21.147|-86.849|Quintana_Roo|0
3521|21.147|-86.835|Quintana_Roo|0
1095|21.149|-101.665|Guanajuato|0
1987|21.149|-86.841|Quintana_Roo|0
172|21.149|-86.833|Quintana_Roo|0
1094|21.15|-101.719|Guanajuato|0
1120|21.15|-100.93|Guanajuato|0
295|21.151|-101.687|Guanajuato|0
1086|21.151|-86.907|Quintana_Roo|0
3057|21.151|-86.825|Quintana_Roo|0
1088|21.152|-86.857|Quintana_Roo|0
1091|21.153|-101.637|Guanajuato|0
933|21.153|-86.82|Quintana_Roo|0
3580|21.154|-101.713|Guanajuato|0
197|21.154|-101.7|Guanajuato|0
1779|21.154|-100.931|Guanajuato|0
2143|21.154|-88.151|Yucatan|0
4259|21.154|-86.829|Quintana_Roo|0
2593|21.155|-86.835|Quintana_Roo|0
4460|21.155|-86.834|Quintana_Roo|0
3280|21.157|-101.695|Guanajuato|0
3529|21.157|-101.694|Guanajuato|0
2636|21.158|-101.694|Guanajuato|0
232|21.158|-101.667|Guanajuato|0
3025|21.158|-101.644|Guanajuato|0
2233|21.158|-100.923|Guanajuato|0
1085|21.158|-86.839|Quintana_Roo|0
173|21.158|-86.829|Quintana_Roo|0
1425|21.159|-101.715|Guanajuato|0
1092|21.159|-101.681|Guanajuato|0
